Hrefno.,Resultid,Region|City,Amenties,HotelStar,Average Price per night,Tax and fees,Nights,Total price,Recommandation,Tripadvisor Rating
6277649930, NTY3MTYwMzY1NDo5NDA1NjA0NTQzMg--, Houston Galleria| West University Place, suite|smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.0, 59.00, 49.76, 4, 285.76, 90, 4.0
6392251999, NTY3MTYwMzY1NDo5NDA1NjA0NTQzNQ--, Downtown Houston| Houston, restaurant(s)|high-speed internet access, 4.5, 84.00, 67.01, 4, 403.01, 95, 4.0
5933033530, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3OQ--, Houston Galleria| West University Place, smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 3.5, 51.00, 44.01, 4, 248.01, 80, 3.5
5479407878, NTY3MTYwMzY1NDo5NDA1NjA0NTQ0MQ--, Downtown Houston| Houston, fitness center|restaurant(s)|business center, 3.5, 65.00, 53.38, 4, 313.38, 90, 3.5
6571776896, NTY3MTYwMzY1NDo5NDA1NjA0NTQyNg--, Downtown Houston| Houston, fitness center|pool(s)|business center|high-speed internet access, 4.0, 94.00, 73.58, 4, 449.58, 95, 
6624443202, NTY3MTYwMzY1NDo5NDA1NjA0NTQyMA--, Houston Galleria| West University Place, boutique hotel|fitness center|restaurant(s)|business center|high-speed internet access, 3.0, 63.00, 52.66, 4, 304.66, 95, 4.0
5904437479, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3MQ--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|tennis nearby, 4.0, 62.00, 51.69, 4, 299.69, 95, 4.0
6049215513, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4Mg--, Houston Galleria| West University Place, laundry facilities, 2.0, 36.00, 31.80, 4, 175.80, 80, 
5362554329, NTY3MTYwMzY1NDo5NDA1NjA0NTQxNQ--, NW Houston - Brookhollow| Spring Valley, smoke free rooms|fitness center|pool(s)|restaurant(s)|laundry facilities|high-speed internet access|golf nearby, 3.5, 53.00, 45.65, 4, 257.65, 95, 3.5
5058654771, NTY3MTYwMzY1NDo5NDA1NjA0NTQyOA--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|restaurant(s)|golf nearby, 3.0, 53.00, 45.65, 4, 257.65, 85, 3.5
6898431750, NTY3MTYwMzY1NDo5NDA1NjA0NTQ0Mw--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|fitness center|pool(s), 3.0, 41.00, 37.43, 4, 201.43, 95, 
5777968262, NTY3MTYwMzY1NDo5NDA1NjA0NTQyNw--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|laundry facilities, 2.5, 41.00, 37.43, 4, 201.43, 75, 3.0
6178967385, NTY3MTYwMzY1NDo5NDA1NjA0NTQzNw--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|tennis nearby, 3.5, 54.00, 46.47, 4, 262.47, 90, 4.0
5007146594, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4OA--, NW Houston - Brookhollow| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|laundry facilities, 3.0, 47.00, 41.15, 4, 229.15, 95, 4.0
6513594001, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3Ng--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 3.5, 54.00, 46.47, 4, 262.47, 90, 4.0
6627464418, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3Mw--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|business center|high-speed internet access, 3.0, 46.00, 40.72, 4, 224.72, 95, 
6812972929, NTY3MTYwMzY1NDo5NDA1NjA0NTQzNg--, NW Houston - Brookhollow| Spring Valley, fitness center|pool(s)|laundry facilities, 2.5, 35.00, 30.98, 4, 170.98, 80, 
5259351086, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3Nw--, Houston Galleria| West University Place, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.5, 227.00, 164.78, 4, 1072.78, 95, 4.5
5186348638, NTY3MTYwMzY1NDo5NDA1NjA0NTQyOQ--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|golf nearby, 3.5, 86.00, 67.83, 4, 411.83, 50, 3.0
5408353182, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2MA--, SW Houston - Sugar Land| Sugar Land, fitness center|pool(s)|restaurant(s)|laundry facilities|golf nearby, 3.0, 41.00, 37.43, 4, 201.43, 80, 3.5
6062075674, NTY3MTYwMzY1NDo5NDA1NjA0Nzc5OA--, East Houston - Cloverleaf| Jacinto City, complimentary breakfast|pool(s)|high-speed internet access, 3.0, 48.00, 42.36, 4, 234.36, 65, 
5330615617, NTY3MTYwMzY1NDo5NDA1NjA0NTQ0NA--, Houston West - Energy Corridor| Spring Valley, laundry facilities, 2.0, 29.00, 26.87, 4, 142.87, 75, 
6320133888, NTY3MTYwMzY1NDo5NDA1NjA0Nzc1MQ--, Aldine - Bush Ictl Airport IAH| Humble, high-speed internet access, 2.5, 39.00, 35.79, 4, 191.79, , 
6732406550, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4Ng--, NW Houston - Brookhollow| Spring Valley, suite|fitness center|kitchenette, 2.0, 32.00, 28.51, 4, 156.51, 65, 
5722190893, NTY3MTYwMzY1NDo5NDA1NjA0NTQ0MA--, Houston West - Energy Corridor| Spring Valley, laundry facilities|high-speed internet access, 2.5, 41.00, 37.43, 4, 201.43, 85, 
5737839979, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2NA--, Washington Ave| Houston, complimentary breakfast, 2.0, 40.00, 36.57, 4, 196.57, , 2.5
6477318081, NTY3MTYwMzY1NDo5NDA1NjA0NTQzMA--, Medical Center - Astrodome| VA Hospital, laundry facilities, 2.0, 42.00, 38.26, 4, 206.26, , 
5319774772, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3MA--, Channelview| Channelview, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 3.0, 48.00, 42.36, 4, 234.36, 85, 4.0
5421044951, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2OA--, SW Houston - Sugar Land| Sugar Land, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access, 2.5, 39.00, 35.79, 4, 191.79, 75, 3.5
5017892057, NTY3MTYwMzY1NDo5NDA1NjA0NTQzNA--, Houston Hobby Airport HOU| South Houston, , 2.0, 36.00, 21.72, 4, 165.72, , 
6416527707, NTY3MTYwMzY1NDo5NDA1NjA0NTQ0Ng--, SW Houston - Sugar Land| Sugar Land, high-speed internet access, 2.0, 34.00, 25.14, 4, 161.14, 90, 
5843599486, NTY3MTYwMzY1NDo5NDA1NjA0Nzc5MQ--, Willowbrook - Cypress Station| North Houston, laundry facilities, 2.0, 29.00, 26.87, 4, 142.87, 85, 
6295691824, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4MQ--, East Houston - Cloverleaf| Jacinto City, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 2.5, 48.00, 42.36, 4, 234.36, , 4.0
5689220324, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2Mg--, Aldine - Bush Ictl Airport IAH| Humble, pool(s)|laundry facilities, 2.0, 34.00, 30.15, 4, 166.15, 45, 
5885082348, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4MA--, Baytown| Baytown, complimentary breakfast|fitness center|pool(s)|laundry facilities, 3.0, 42.00, 39.06, 4, 207.06, 80, 3.5
6073077662, NTY3MTYwMzY1NDo5NDA1NjA0NTQxNA--, East Houston - Cloverleaf| Jacinto City, complimentary breakfast, 2.0, 39.00, 35.79, 4, 191.79, 55, 
6479080583, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2Mw--, SW Houston - Sugar Land| Sugar Land, suite|smoke free rooms|fitness center|pool(s)|high-speed internet access, 3.5, 92.00, 72.33, 4, 440.33, 90, 4.5
6620675997, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2Ng--, Clear Lake - NASA Space Center - Kemah| Nassau Bay, pool(s)|restaurant(s), 3.0, 54.00, 47.91, 4, 263.91, 95, 
6703548728, NTY3MTYwMzY1NDo5NDA1NjA0NTQyMw--, Pasadena| Pasadena, fitness center|business center|laundry facilities|high-speed internet access, 3.0, 72.00, 58.80, 4, 346.80, , 3.5
6043257762, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4Mw--, Willowbrook - Cypress Station| North Houston, fitness center|pool(s)|business center|laundry facilities, 3.0, 66.00, 54.30, 4, 318.30, 90, 
5233511970, NTY3MTYwMzY1NDo5NDA1NjA0Nzc2NQ--, Cyfair| Jersey Village, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access, 2.5, 39.00, 34.36, 4, 190.36, 75, 3.5
6582898634, NTY3MTYwMzY1NDo5NDA1NjA0NTQxMw--, Pearland| Pearland, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 3.0, 78.00, 60.25, 4, 372.25, 95, 4.0
6001362382, NTY3MTYwMzY1NDo5NDA1NjA0Nzc5NQ--, Willowbrook - Cypress Station| North Houston, fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 2.5, 55.00, 42.83, 4, 262.83, 95, 
5890601509, NTY3MTYwMzY1NDo5NDA1NjA0NTQ0NQ--, Clear Lake - NASA Space Center - Kemah| Nassau Bay, , 2.0, 34.00, 30.15, 4, 166.15, 75, 
6712279162, NTY3MTYwMzY1NDo5NDA1NjA0NTQyNQ--, Pasadena| Pasadena, complimentary breakfast|pool(s)|high-speed internet access, 2.0, 50.00, 32.67, 4, 232.67, , 3.5
5626225572, NTY3MTYwMzY1NDo5NDA1NjA0Nzc5Nw--, Baytown| Baytown, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access, 2.5, 41.00, 37.05, 4, 201.05, 70, 3.5
6848627891, NTY3MTYwMzY1NDo5NDA1NjA0NTQyMg--, Pasadena| Pasadena, complimentary breakfast|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 2.5, 67.00, 54.88, 4, 322.88, , 4.0
6457514020, NTY3MTYwMzY1NDo5NDA1NjA0Nzc3NA--, Atascocita| Atascocita, high-speed internet access, 3.0, 70.00, 46.76, 4, 326.76, , 
5748665567, NTY3MTYwMzY1NDo5NDA1NjA0Nzc1OA--, Pearland| Pearland, complimentary breakfast|high-speed internet access, 2.5, 68.00, 48.04, 4, 320.04, , 
5137251006, NTY3MTYwMzY1NDo5NDA1NjA0Nzc1OQ--, La Porte| La Porte, high-speed internet access, 2.0, 39.00, 35.79, 4, 191.79, 70, 
6145120496, NTY3MTYwMzY1NDo5NDA1NjA0Nzc5Mw--, Deer Park| Deer Park, complimentary breakfast, 2.0, 42.00, 38.59, 4, 206.59, , 4.0
6391670904, NTY3MTYwMzY1NDo5NDA1NjA0Nzc4NA--, Deer Park| Deer Park, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access, 3.0, 76.00, 66.19, 4, 370.19, , 3.5
6531820417, NTY3MTYwMzY1NDo5NDA1NjA0Nzc1Ng--, League City - Dickinson| League City, complimentary breakfast, 2.0, 35.00, 24.68, 4, 164.68, , 3.0
