Hrefno.,Resultid,Region|City,Amenties,HotelStar,Average Price per night,Tax and fees,Nights,Total price,Recommandation,Tripadvisor Rating
Hrefno.,Resultid,Region|City,Amenties,HotelStar,Average Price per night,Tax and fees,Nights,Total price,Recommandation,Tripadvisor Rating
5940880545, NTY3NDIzOTI0ODo5NDI4NzAwNDQ4Mg--, Houston Galleria| West University Place, suite|smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access, 4.0, 59.00, 49.76, 4, 285.76, 90, 4.0
6021062287, NTY3NDIzOTI0ODo5NDI4NzAwNDQ4NQ--, Downtown Houston| Houston, restaurant(s)|high-speed internet access, 4.5, 84.00, 67.01, 4, 403.01, 95, 4.0
6985452028, NTY3NDIzOTI0ODo5NDI4NzAxMzIyOQ--, Houston Galleria| West University Place, smoke free rooms|fitness center|pool(s)|restaurant(s)|business center|laundry facilities|high-speed internet access, 3.5, 51.00, 44.01, 4, 248.01, 80, 3.5
6050023472, NTY3NDIzOTI0ODo5NDI4NzAwNDQ3Ng--, Downtown Houston| Houston, boutique hotel|fitness center|restaurant(s)|business center|high-speed internet access, 4.0, 77.00, 61.89, 4, 369.89, 80, 4.0
5187167428, NTY3NDIzOTI0ODo5NDI4NzAwNDQ5MQ--, Downtown Houston| Houston, fitness center|restaurant(s)|business center, 3.5, 65.00, 53.38, 4, 313.38, 85, 3.5
6587535504, NTY3NDIzOTI0ODo5NDI4NzAwNDQ3MA--, Houston Galleria| West University Place, boutique hotel|fitness center|restaurant(s)|business center|high-speed internet access, 3.0, 62.00, 51.40, 4, 299.40, 95, 4.0
6935371885, NTY3NDIzOTI0ODo5NDI4NzAxMzIyMQ--, Houston West - Energy Corridor| Spring Valley, fitness center|pool(s)|restaurant(s)|business center|high-speed internet access|tennis nearby, 4.0, 62.00, 51.69, 4, 299.69, 95, 4.0
6921102005, NTY3NDIzOTI0ODo5NDI4NzAwNDQ3OA--, Medical Center - Astrodome| VA Hospital, fitness center|pool(s)|restaurant(s)|golf nearby, 3.0, 50.00, 43.19, 4, 243.19, 85, 3.5
6177867542, NTY3NDIzOTI0ODo5NDI4NzAwNDQ2NQ--, NW Houston - Brookhollow| Spring Valley, smoke free rooms|fitness center|pool(s)|restaurant(s)|laundry facilities|high-speed internet access|golf nearby, 3.5, 53.00, 45.65, 4, 257.65, 95, 3.5
