Hrefno.,Resultid,Region|City,Amenties,HotelStar,Average Price per night,Tax and fees,Nights,Total price,Recommandation,Tripadvisor Rating
5072464683, NTY2Nzk0MzIyMTo5Mzc0NzU1NjQ5MA--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|fitness center|pool(s)|restaurant(s)|business center|high-speed internet access,3.5,54,15.39,1,69.39,90, 
5075764367, NTY2Nzk0MzIyMTo5Mzc0NzU1NjQ5Ng--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|fitness center|pool(s),3,41,13.13,1,54.13,95, 
6344220936, NTY2Nzk0MzIyMTo5Mzc0NzU5OTcwNA--, Aldine - Bush Ictl Airport IAH| Humble, airport shuttle|smoke free rooms|pool(s)|business center|laundry facilities|high-speed internet access,2.5,32,11.49,1,43.49,85,3.5
5056776896, NTY2Nzk0MzIyMTo5Mzc0NzU5OTcxNQ--, Aldine - Bush Ictl Airport IAH| Humble, pool(s)|laundry facilities,2,30,11.29,1,41.29,45, 
5241842952, NTY2Nzk0MzIyMTo5Mzc0NzU5OTcwMw--, Aldine - Bush Ictl Airport IAH| Humble, ,1,41,13.64,1,54.64, , 
6035093515, NTY2Nzk0MzIyMTo5Mzc0NzU1NjQ3MA--, Alvin| Alvin, fitness center|pool(s)|business center|high-speed internet access,2.5,57,13.23,1,70.23, , 
5040413205, NTY2Nzk0MzIyMTo5Mzc0NzU1NjQ2NQ--, Alvin| Alvin, complimentary breakfast,1,38,11.2,1,49.2, , 
6692744514, NTY2Nzk0MzIyMTo5Mzc0NzU5OTczMg--, Baytown| Baytown, complimentary breakfast|fitness center|pool(s)|laundry facilities,3,42,13.54,1,55.54,80,3.5
5460165323, NTY2Nzk0MzIyMTo5Mzc0NzU5OTc0OA--, Baytown| Baytown, complimentary breakfast|pool(s)|laundry facilities|high-speed internet access,2.5,39,12.72,1,51.72,70,3.5
5138371257, NTY2Nzk0MzIyMTo5Mzc0NzU5OTc0MQ--, Baytown| Baytown, complimentary breakfast|high-speed internet access,2,45,14.15,1,59.15, , 
6427452181, NTY2Nzk0MzIyMTo5Mzc0NzU5OTcyMw--, Channelview| Channelview, complimentary breakfast|fitness center|pool(s)|business center|laundry facilities|high-speed internet access,3,72,18.47,1,90.47,85,4
5792774947, NTY2Nzk0MzIyMTo5Mzc0NzU5OTcyNQ--, Channelview| Channelview, fitness center|laundry facilities|high-speed internet access,2,43,13.02,1,56.02, ,2.5
5212955909, NTY2Nzk0MzIyMTo5Mzc0NzU1NjQ5MQ--, Channelview| Channelview, high-speed internet access,1,40,12.62,1,52.62, , 
