 North York - Vaughan| North York, 3.0

 Downtown - SoHo - Financial District| New York City, 3.5

 Washington Ave| Houston, 2.0
4:45:00, 50.00 ,  57.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00

 Downtown - SoHo - Financial District| New York City, 3.0

 Calgary Intl Airport YYC| Calgary, 3.5

 Burr Ridge - Hinsdale - Willowbrook| Darien, 3.5

 Downtown Toronto West| Toronto, 3.0

 Lombard - Oak Brook - Downers Grove| Oak Brook, 3.0

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 2.5
1:45:00 ,  43.00 ,  45.00 , 2011-01-14 20:48:00 , 2011-01-14 22:33:00,Recommandation changed:90||85,,,
0:30:00 ,  45.00 ,  43.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00,Recommandation changed:85||90,,,
0:30:00 ,  43.00 ,  45.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00,Recommandation changed:90||85,,,
0:30:00 ,  45.00 ,  43.00 , 2011-01-14 23:33:00 , 2011-01-15 00:03:00,Recommandation changed:85||90,,,

 Empire State Building| New York City, 3.5

 Lombard - Oak Brook - Downers Grove| Oak Brook, 3.5

 Houston West - Energy Corridor| Spring Valley, 4.0

 Empire State Building| New York City, 3.0

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 2.0
4:15:00 ,  56.00 ,  60.00 , 2011-01-14 20:48:00 , 2011-01-15 01:03:00,Recommandation changed:||40,Tripadvisor rating changed:3.5||2.5,'laundry facilities',
0:30:00, 60.00 ,  65.00 , 2011-01-15 01:03:00 , 2011-01-15 01:33:00

 Calgary South| Calgary, 2.5

 Willowbrook - Cypress Station| North Houston, 2.5
0:15:00 ,  59.00 ,  55.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:95||100,,,
0:30:00 ,  55.00 ,  59.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00,Recommandation changed:100||95,,,
1:00:00 ,  59.00 ,  55.00 , 2011-01-14 21:33:00 , 2011-01-14 22:33:00,Recommandation changed:95||100,,,
0:30:00 ,  55.00 ,  59.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00,Recommandation changed:100||95,,,
0:30:00 ,  59.00 ,  55.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00,Recommandation changed:95||100,,,

 Willowbrook - Cypress Station| North Houston, 2.0
2:15:00, 30.00 ,  33.00 , 2011-01-14 20:48:00 , 2011-01-14 23:03:00
