,,'La Quinta Inn Tamarac East', 'La Quinta Inn Tamarac East Fort Lauderdale', 1.0
,,'Holiday Inn South Kingstown', 'Holiday Inn South Kingstown', 1.0
,,'Los Gatos Lodge', 'Los Gatos Lodge', 1.0
,,'Extended Stay Deluxe Biltmore', 'Extended Stay Deluxe Hotel Biltmore Phoenix', 1.0
,,'Homestead Suites Blue Lagoon', 'Homestead Studio Suites Airport Blue Lagoon Miami', 0.875
,,'Fairfield Inn Oceanfront', 'Fairfield Inn & Suites Oceanfront Virginia Beach', 0.84210526315789469
,,'Radisson Resort at the Port', 'Radisson Resort Port Cape Canaveral', 0.85106382978723405
,,'La Quinta Inn and Suites', 'La Quinta Inn & Suites Downtown Little Rock', 1.0
,,'Hilton Scranton', 'Hilton Hotel Scranton', 1.0
,,'Best Western Hotel JTB Southpoint', 'Best Western Hotel Southpoint Jacksonville', 0.8571428571428571
,,'Marriott', 'Marriott Hotel Wichita', 1.0
,,'Residence Inn', 'Residence Inn South Brunswick Cranbury', 1.0
,,'Fairfield Inn South', 'Fairfield Inn South Baton Rouge', 1.0
,,'Hyatt Regency Wichita', 'Hyatt Regency Hotel Wichita', 1.0
,,'Hotel Albuquerque at Old Town', 'Hotel Albuquerque at Old Town', 1.0
,,'Radisson', 'Radisson Hotel Tulsa', 1.0
,,'Aloft', 'Aloft Hotel Galleria Houston', 1.0
,,'Doubletree Guest Suites', 'Doubletree Guest Suites Tampa', 1.0
,,'Crowne Plaza Five Seasons', 'Crowne Plaza Hotel Five Seasons Cedar Rapids', 1.0
,,'Residence Inn', 'Residence Inn Airport Phoenix', 1.0
,,'Residence Inn', 'Residence Inn West Orange', 1.0
,,'Hilton', 'Hilton Hotel Airport Miami', 1.0
,,'Courtyard', 'Courtyard Hotel Airport Salt Lake City', 1.0
,,'Courtyard Downtown', 'Courtyard Hotel Downtown San Diego', 1.0
,,'Loews Santa Monica Beach Hotel', 'Loews Beach Hotel Santa Monica', 0.91666666666666663
,,'Marriott at Penn Square', 'Marriott at Penn Square Hotel Lancaster (Pennsylvania)', 1.0
,,'Red Lion', 'Red Lion Hotel Tacoma', 1.0
,,'Hyatt Place', 'Hyatt Place Hotel Baton Rouge', 1.0
,,'Ames Hotel', 'Ames Hotel Boston', 1.0
,,'Residence Inn at Grand Boulevard', 'Residence Inn Sandestin Grand Boulevard Destin', 0.9538461538461539
,,'Staybridge Suites Willowbrook', 'Staybridge Suites Willowbrook Houston', 1.0
,,'Doubletree Market Center', 'Doubletree Hotel Market Center Dallas', 1.0
,,'Country Inns and Suites', 'Country Inn & Suites Airport Tucson', 0.97560975609756095
,,'Best Western Sunrise', 'Best Western Sunrise Hotel Redondo Beach', 0.85106382978723405
,,'InterContinental Stephen F Austin', 'InterContinental Stephen F Hotel Austin', 1.0
,,'Hilton Garden Inn Town Center', 'Hilton Garden Inn Tower Center Virginia Beach', 0.94915254237288138
,,'Springhill Suites', 'SpringHill Suites Airport Pittsburgh', 1.0
,,'Holiday Inn Toms River', 'Holiday Inn Toms River', 1.0
,,'Extended StayAmerica Patchen Village', 'Extended Stay America Hotel Patchen Village Lexington', 0.98630136986301364
,,'Inn at Queen Anne', 'Inn at Queen Anne Seattle', 1.0
,,'Hilton Anatole', 'Hilton Hotel Anatole Dallas', 1.0
,,'Residence Inn Phoenix NorthHappy Valley', 'Residence Inn North Phoenix', 0.97435897435897434
,,'Pacific Inn', 'Pacific Inn Sunnyvale', 1.0
,,'Comfort Inn Lake Buena Vista', 'Comfort Inn Lake Buena Vista', 1.0
,,'Holiday Inn', 'Holiday Inn Chico', 1.0
,,'Holiday Inn Flint', 'Holiday Inn Flint', 1.0
,,'Inn on the Beach', 'Inn On The Beach Daytona Beach', 1.0
,,'Holiday Inn', 'Holiday Inn Torrance', 1.0
,,'Embassy Suites', 'Embassy Suites Newark (Delaware)', 1.0
,,'Sheraton', 'Sheraton Hotel Newark (New Jersey)', 1.0
,,'Doubletree Guest Suites', 'Doubletree Guest Suites Omaha', 1.0
,,'Candlewood Suites', 'Candlewood Suites Winchester (Virginia)', 1.0
,,'Suncoast Hotel', 'Suncoast Hotel Las Vegas', 1.0
,,'Holiday Inn Airport', 'Holiday Inn Airport Long Beach', 1.0
,,'Holiday Inn Downtown', 'Holiday Inn Downtown San Diego', 1.0
,,'Guest Suites Boca Raton', 'Guest Suites Boca Raton', 1.0
,,'Best Western Victorian Inn', 'Best Western Victorian Inn Monterey', 1.0
,,'Crowne Plaza Anaheim', 'Crowne Plaza Resort Anaheim Garden Grove', 0.85106382978723405
,,'Sheraton', 'Sheraton Hotel Dallas', 1.0
,,'Crowne Plaza', 'Crowne Plaza Hotel Downtown Philadelphia', 1.0
,,'Ramada Plaza', 'Ramada Plaza Hotel Dayton', 1.0
,,'Holiday Inn Express East', 'Holiday Inn Express East Wilkes Barre', 1.0
,,'Courtyard', 'Courtyard Hotel South Boston', 1.0
,,'Club Quarters', 'Club Quarters Hotel Houston', 1.0
,,'Holiday Inn North Hills', 'Holiday Inn North Pittsburgh', 0.84999999999999998
,,'Hyatt Place Plano', 'Hyatt Place Hotel Plano', 1.0
,,'The Shoreham Hotel', 'The Shoreham Hotel New York City', 1.0
,,'Doubletree Reid Park', 'Doubletree Hotel Reid Park Tucson', 1.0
,,'Extended StayAmerica', 'Extended Stay America Hotel Urbana Champaign', 0.83333333333333337
,,'Doubletree Westport', 'Doubletree Hotel Westport Saint Louis', 1.0
,,'Residence Inn', 'Residence Inn Downtown Cleveland', 1.0
,,'Staybridge Suites', 'Staybridge Suites North Albuquerque', 0.84999999999999998
,,'Crowne Plaza', 'Crowne Plaza Hotel West Richmond', 1.0
,,'Marriott', 'Marriott Hotel Airport Los Angeles', 1.0
,,'Summerfield Suites', 'Hyatt Summerfield Suites Airport Miami', 0.8571428571428571
,,'Radisson Plaza Lord Baltimore', 'Radisson Plaza Hotel Lord Baltimore', 1.0
,,'Peery', 'Peery Hotel Salt Lake City', 1.0
,,'Doubletree', 'Doubletree Hotel Downtown El Paso', 0.83333333333333337
,,'Country Inn and Suites', 'Country Inn & Suites South Indianapolis', 0.86956521739130432
,,'Hyatt Place', 'Hyatt Place Hotel Busch Gardens Tampa', 1.0
,,'Resort Hyatt Regency Grand Cypress', 'Hyatt Regency Hotel Grand Cypress Orlando Lake Buena Vista', 0.88524590163934425
,,'Marriott', 'Marriott Hotel Charleston', 1.0
,,'Doubletree', 'Doubletree Hotel Little Rock', 1.0
,,'Doubletree', 'Doubletree Hotel Downtown Houston', 1.0
,,'Homestead Suites Miami Springs', 'Homestead Studio Suites Airport Miami Springs', 0.86206896551724133
,,'Homestead Galleria', 'Homestead Hotel Galleria Houston', 1.0
,,'Fairfield Inn', 'Fairfield Inn Concord (New Hampshire)', 1.0
,,'Extended StayAmerica South', 'Extended Stay America Hotel South Springfield', 0.98113207547169812
,,'Best Western Lake Motor Lodge', 'Best Western Lake Motor Lodge Summersville', 1.0
,,'Fairfield Inn and Suites', 'Fairfield Inn & Suites Airport Oklahoma City', 0.84615384615384615
,,'Red Lion', 'Red Lion Hotel Eugene', 1.0
,,'Hyatt Place', 'Hyatt Place Hotel Airport Richmond', 1.0
,,'The Chesterfield', 'Chesterfield Hotel Miami Beach', 0.8571428571428571
,,'Guesthouse Inn', 'GuestHouse Grand Forks', 0.83333333333333337
,,'Clarion Inn Willow River', 'Clarion Inn Willow River Sevierville', 1.0
,,'Orlando Metropolitan Resort', 'Metropolitan Resort Orlando', 1.0
,,'Hilton Garden Inn', 'Hilton Garden Inn Beachfront Orange Beach', 0.84999999999999998
,,'Courtyard', 'Courtyard Hotel Denton', 1.0
,,'Doubletree Reid Park', 'Doubletree Hotel Reid Park Tucson', 1.0
,,'Holiday Inn Hotel and Suites', 'Holiday Inn Hotel & Suites Orange Park', 1.0
,,'Andaz San Diego', 'Andaz Hotel San Diego', 1.0
,,'Ramada Inn', 'Ramada Inn Bangor (Maine)', 1.0
,,'Hyatt Regency', 'Hyatt Regency Hotel Houston', 1.0
,,'Homewood Suites', 'Homewood Suites Lake Mary', 1.0
,,'Sheraton Suites', 'Sheraton Suites Key West', 1.0
,,'Hyatt Place', 'Hyatt Place Hotel Airport Salt Lake City', 1.0
,,'Doubletree', 'Doubletree Hotel Denver', 1.0
,,'La Quinta North', 'La Quinta Inn North Kansas City', 0.88235294117647056
,,'Best Western Eagle Rock Inn', 'Best Western Eagle Rock Inn Los Angeles', 1.0
