delaware
,wilmington
,,newark - christiana
,,,doubletree,Doubletree Hotel Market Center Dallas
,,,westin,Westin Hotel Dallas Fort Worth Airport Irving
,,,hilton bellevue,Hilton Garden Inn DFW North Grapevine
,,,coast bellevue hotel,Coast Hotel Bellevue (Washington)
,,,courtyard downtown,Courtyard Hotel Downtown Bellevue (Washington)

,,,Hotel Matched : 6,Hotel Not Matched : 4

,,mukilteo - south everett
,,,extended stayamerica everett,Extended Stay America Hotel Mukilteo
,,,extended stay deluxe everett,Extended Stay Deluxe Seattle Hotel Everett
,,,towneplace suites mukilteo,TownePlace Suites Seattle North Mukilteo

,,,Hotel Matched : 3,Hotel Not Matched : 0

,,downtown - pike place
,,,alexis hotel,Alexis Hotel Seattle
,,,grand hyatt,Grand Hyatt Hotel Seattle
,,,hotel edgewater,Edgewater Hotel Seattle
,,,hotel monaco,Monaco Hotel Seattle
,,,hotel vintage park,Vintage Park Hotel Seattle
,,,hyatt at olive,Hyatt Hotel At Olive 8 Seattle
,,,renaissance,Renaissance Hotel Seattle
,,,sorrento hotel,Sorrento Hotel Seattle
,,,w hotel seattle,W Hotel Seattle
,,,westin,Westin Hotel Seattle
,,,hotel max,Hotel Max Seattle
,,,marriot waterfront,Marriott Waterfront Hotel Seattle
,,,silver cloud broadway,Silver Cloud Hotel Broadway Seattle
,,,silver cloud stadium,Silver Cloud Hotel Stadium Seattle
,,,courtyard pioneer square,Courtyard Hotel Downtown Pioneer Square Seattle
,,,crowne plaza,Crowne Plaza Hotel Downtown Seattle
,,,mayflower park,Mayflower Park Hotel Seattle

,,,Hotel Matched : 17,Hotel Not Matched : 4

,,airport sea
,,,coast gateway airport hotel,Coast Gateway Hotel SeaTac
,,,doubletree seattle airport,Doubletree Hotel Seattle Airport SeaTac
,,,hilton,Hilton Hotel Seattle Airport SeaTac
,,,marriott,Marriott Hotel Seattle Airport SeaTac
,,,radisson seattle airport,Radisson Hotel Gateway Seattle Tacoma Airport SeaTac
,,,red lion airport,Red Lion Hotel Seattle Airport SeaTac
,,,days inn,Days Inn South Seattle Tukwila
,,,best value inn airport,Americas Best Value Airport Inn SeaTac

,,,Hotel Matched : 8,Hotel Not Matched : 1

,,center - space needle
,,,pan pacific,Pan Pacific Hotel Seattle
,,,holiday inn,Holiday Inn Seattle
,,,marqueen,Marqueen Hotel Seattle
,,,best western executive inn,Best Western Executive Inn Seattle
,,,holiday inn express,Holiday Inn Express Hotel & Suites City Center Seattle
,,,homewood suites seattle downtown,Homewood Suites Downtown Seattle
,,,springhill suites,SpringHill Suites Downtown Seattle
,,,best western loyal inn,Best Western Loyal Inn Seattle
,,,inn at queen anne,Inn at Queen Anne Seattle
,,,sixth avenue inn,Sixth Avenue Inn Seattle
,,,days inn town center,Days Inn Downtown Seattle
,,,travelodge space needle,Travelodge Hotel Space Needle Seattle

,,,Hotel Matched : 12,Hotel Not Matched : 0

,,north everett
,,,holiday inn,Holiday Inn Downtown Everett

,,,Hotel Matched : 1,Hotel Not Matched : 0

,,lynnwood - edmonds
,,,embassy suites,Embassy Suites Park Central Dallas
,,,best western,Best Western Alderwood Hotel Lynnwood
,,,extended stayamerica,Extended Stay America Hotel Lynnwood

,,,Hotel Matched : 3,Hotel Not Matched : 1

,,university of washington - northgate
,,,hotel deca,Deca Hotel Seattle
,,,silver cloud university,Silver Cloud Inn University Seattle
,,,holiday inn express,Holiday Inn Express Hotel & Suites Northgate Mall Seattle
,,,extended stayamerica northgate,Extended Stay America Hotel Northgate Seattle

,,,Hotel Matched : 4,Hotel Not Matched : 0

,,renton - kent
,,,doubletree guest suites,Doubletree Guest Suites Seattle Airport SeaTac
,,,hilton garden inn,Hilton Garden Inn Seattle Renton
,,,holiday inn kent,Holiday Inn Seattle Renton
,,,holiday inn renton,Holiday Inn Seattle Renton
,,,towneplace suites southcenter,Towneplace Suites Seattle South Renton
