 Logan Intl Airport BOS - Saugus| Revere,2,,,,,,
3:30:00,55,59, 2011-01-08 12:33:00 , 2011-01-08 16:03:00,Recommandation changed:100||95,,
0:30:00,59,55, 2011-01-08 16:03:00 , 2011-01-08 16:33:00,Recommandation changed:95||100,,
1:00:00,55,59, 2011-01-08 16:33:00 , 2011-01-08 17:33:00,Recommandation changed:100||95,,
0:30:00,59,55, 2011-01-08 17:33:00 , 2011-01-08 18:03:00,Recommandation changed:95||100,,
0:30:00,55,59, 2011-01-08 18:03:00 , 2011-01-08 18:33:00,Recommandation changed:100||95,,
0:30:00,59,55, 2011-01-08 18:33:00 , 2011-01-08 19:03:00,Recommandation changed:95||100,,
0:30:00,55,59, 2011-01-08 19:03:00 , 2011-01-08 19:33:00,Recommandation changed:100||95,,
1:00:00,59,55, 2011-01-08 19:33:00 , 2011-01-08 20:33:00,Recommandation changed:95||100,,
2:30:00,55,59, 2011-01-08 20:33:00 , 2011-01-08 23:03:00,Recommandation changed:100||95,,
0:30:00,59,55, 2011-01-08 23:03:00 , 2011-01-08 23:33:00,Recommandation changed:95||100,,
0:30:00,55,59, 2011-01-08 23:33:00 , 2011-01-09 00:03:00,Recommandation changed:100||95,Tripadvisor rating changed:4.0||,'restaurant(s)'| 'tennis nearby'
2:00:00,59,55, 2011-01-09 00:03:00 , 2011-01-09 02:03:00,Recommandation changed:95||100,Tripadvisor rating changed:||4.0,'restaurant(s)'| 'tennis nearby'
10:00:00,55,59, 2011-01-09 02:03:00 , 2011-01-09 12:03:00,Recommandation changed:100||95,,
1:00:00,59,55, 2011-01-09 12:03:00 , 2011-01-09 13:03:00,Recommandation changed:95||100,,
3:00:00,55,59, 2011-01-09 13:03:00 , 2011-01-09 16:03:00,Recommandation changed:100||95,Tripadvisor rating changed:4.0||,'restaurant(s)'| 'tennis nearby'
6:00:00,59,55, 2011-01-09 16:03:00 , 2011-01-09 22:03:00,Recommandation changed:95||100,Tripadvisor rating changed:||4.0,'restaurant(s)'| 'tennis nearby'
